Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/10 00:00:00+00,295,Kalimantan Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,295,79
2020/03/10 00:00:00+00,296,Kalimantan Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,296,80
2020/03/10 00:00:00+00,297,Kepulauan Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,297,81
2020/03/10 00:00:00+00,298,Nusa Tenggara Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,298,82
2020/03/10 00:00:00+00,299,Sumatera Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,299,83
2020/03/10 00:00:00+00,300,Sumatera Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,300,84
2020/03/12 00:00:00+00,351,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,351,85
2020/03/03 00:00:00+00,51,Kalimantan Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,51,86
2020/03/07 00:00:00+00,201,Lampung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,201,87
2020/03/06 00:00:00+00,151,Jawa Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,151,88
2020/03/10 00:00:00+00,301,Sulawesi Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,301,89
2020/03/12 00:00:00+00,352,Bali,1,0,0,0,1,0,0,100,0,352,90
2020/03/06 00:00:00+00,152,Kalimantan Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,152,91
2020/03/03 00:00:00+00,52,Kepulauan Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,52,92
2020/03/10 00:00:00+00,302,Sumatera Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,302,93
2020/03/12 00:00:00+00,353,Banten,1,0,0,0,0,0,1,0,0,353,94
2020/03/06 00:00:00+00,153,Kalimantan Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,153,95
2020/03/03 00:00:00+00,53,Nusa Tenggara Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,53,96
2020/03/10 00:00:00+00,303,Sulawesi Tenggara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,303,97
2020/03/12 00:00:00+00,354,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,354,98
2020/03/06 00:00:00+00,154,Kalimantan Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,154,99
2020/03/03 00:00:00+00,54,Sumatera Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,54,100
2020/03/10 00:00:00+00,304,Sulawesi Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,304,101
2020/03/12 00:00:00+00,355,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,355,102
2020/03/06 00:00:00+00,155,Kalimantan Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,155,103
2020/03/03 00:00:00+00,55,Sumatera Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,55,104
2020/03/10 00:00:00+00,305,Sulawesi Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,305,105
2020/03/12 00:00:00+00,356,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,356,106
2020/03/06 00:00:00+00,156,Kalimantan Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,156,107
2020/03/10 00:00:00+00,306,Lampung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,306,108
2020/03/03 00:00:00+00,56,Sulawesi Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,56,109
2020/03/12 00:00:00+00,357,DKI Jakarta,29,0,2,0,0,0,27,0,6.896551724,357,110
2020/03/10 00:00:00+00,307,Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,307,111
2020/03/06 00:00:00+00,157,Kepulauan Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,157,112
2020/03/03 00:00:00+00,57,Sumatera Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,57,113
2020/03/12 00:00:00+00,358,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,358,114
2020/03/10 00:00:00+00,308,Maluku Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,308,115
2020/03/06 00:00:00+00,158,Nusa Tenggara Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,158,116
2020/03/03 00:00:00+00,58,Sulawesi Tenggara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,58,117
2020/03/12 00:00:00+00,359,Jawa Barat,3,0,0,0,0,0,3,0,0,359,118
2020/03/10 00:00:00+00,309,Maluku,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,309,119
2020/03/06 00:00:00+00,159,Sumatera Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,159,120
2020/03/03 00:00:00+00,59,Sulawesi Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,59,121
2020/03/12 00:00:00+00,360,Jawa Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,360,122
2020/03/10 00:00:00+00,310,Papua Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,310,123
2020/03/06 00:00:00+00,160,Sumatera Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,160,124
2020/03/03 00:00:00+00,60,Sulawesi Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,60,125
2020/03/12 00:00:00+00,361,Jawa Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,361,126
2020/03/10 00:00:00+00,311,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,311,127
